# Version 1.00
#
freq[Hz] db:Trc4_S21 ang:Trc4_S21 
1.450000000000000E+009 -4.692673638413972E+000 8.620298810538574E+001 
1.466000000000000E+009 -4.749633818258189E+000 8.664030968328369E+001 
1.482000000000000E+009 -4.210266974857828E+000 8.471874560244345E+001 
1.498000000000000E+009 -3.974210039271102E+000 7.598752593737149E+001 
1.514000000000000E+009 -4.431634988103581E+000 7.090765048276278E+001 
1.530000000000000E+009 -4.841441314763279E+000 6.848158324998440E+001 
1.546000000000000E+009 -4.704082595998317E+000 6.906471378240545E+001 
1.562000000000000E+009 -4.412895304428388E+000 6.482911643802419E+001 
1.578000000000000E+009 -4.230046233331883E+000 5.937135286347918E+001 
1.594000000000000E+009 -4.858604270412851E+000 5.480396833191986E+001 
1.610000000000000E+009 -5.111638422229815E+000 5.555052806686588E+001 
1.626000000000000E+009 -4.974145070680345E+000 5.511591191534001E+001 
1.642000000000000E+009 -4.614843370945599E+000 4.965722749734138E+001 
1.658000000000000E+009 -4.859625051260581E+000 4.330825955687941E+001 
1.674000000000000E+009 -5.287067332393098E+000 4.050092420592236E+001 
1.690000000000000E+009 -5.422933234709364E+000 3.914060459027224E+001 
1.706000000000000E+009 -5.127207506441066E+000 3.995165594735065E+001 
1.722000000000000E+009 -4.781440398208796E+000 3.390835584713074E+001 
1.738000000000000E+009 -4.813061258380066E+000 2.932224840175610E+001 
1.754000000000000E+009 -5.394158687718925E+000 2.279245065700649E+001 
1.770000000000000E+009 -5.734694557742014E+000 2.337183896057567E+001 
1.786000000000000E+009 -5.382522029823859E+000 2.341635755669796E+001 
1.802000000000000E+009 -5.055926418488133E+000 1.918891543595647E+001 
1.818000000000000E+009 -5.193152434715231E+000 1.503742756883842E+001 
1.834000000000000E+009 -5.517804097487518E+000 1.005851193223285E+001 
1.850000000000000E+009 -5.646934212307079E+000 8.814543992347179E+000 
1.866000000000000E+009 -5.534903760321118E+000 5.423232292060180E+000 
1.882000000000000E+009 -5.353720894092981E+000 3.346312767422569E+000 
1.898000000000000E+009 -5.469721536145447E+000 -2.088259750511778E+000 
1.914000000000000E+009 -5.596482799704688E+000 -3.940369447872460E+000 
1.930000000000000E+009 -5.731986651072786E+000 -4.392095745462092E+000 
1.946000000000000E+009 -5.606735069935101E+000 -8.674939737471624E+000 
1.962000000000000E+009 -5.484300697337329E+000 -1.035795316367551E+001 
1.978000000000000E+009 -5.615471483704984E+000 -1.559252884429532E+001 
1.994000000000000E+009 -5.762332820994063E+000 -1.800319857859954E+001 
2.010000000000000E+009 -5.789581846165016E+000 -1.998958500406150E+001 
2.026000000000000E+009 -5.635314970322268E+000 -2.104738128562350E+001 
2.042000000000000E+009 -5.537003159285968E+000 -2.688445690948879E+001 
2.058000000000000E+009 -5.659563438837723E+000 -3.135942457308638E+001 
2.074000000000000E+009 -5.895140427362179E+000 -3.240550327348014E+001 
2.090000000000000E+009 -5.904171058843200E+000 -3.197215190224577E+001 
2.106000000000000E+009 -5.671039421382843E+000 -3.639209046896780E+001 
2.122000000000000E+009 -5.488053116498104E+000 -4.059088733000782E+001 
2.138000000000000E+009 -5.633868529644998E+000 -4.544531534558078E+001 
2.154000000000000E+009 -5.860239220676052E+000 -4.811798887276934E+001 
2.170000000000000E+009 -5.966031860216638E+000 -4.949460838150313E+001 
2.186000000000000E+009 -5.633419604790700E+000 -5.285011581409728E+001 
2.202000000000000E+009 -5.497918993935861E+000 -5.471138860563838E+001 
2.218000000000000E+009 -5.578122092917417E+000 -5.785630170581596E+001 
2.234000000000000E+009 -5.775274411628745E+000 -6.240465707972007E+001 
2.250000000000000E+009 -5.817067130704327E+000 -6.382009071923610E+001 
2.266000000000000E+009 -5.742571233879155E+000 -6.670040455193077E+001 
2.282000000000000E+009 -5.567193437579570E+000 -6.610762082113669E+001 
2.298000000000000E+009 -5.528950663852830E+000 -7.472003779389708E+001 
2.314000000000000E+009 -5.683214269467981E+000 -7.855736382698065E+001 
2.330000000000000E+009 -5.763062965052059E+000 -8.027043254280788E+001 
2.346000000000000E+009 -5.678180231929022E+000 -8.237320357990308E+001 
2.362000000000000E+009 -5.648513906723077E+000 -8.544850169017400E+001 
2.378000000000000E+009 -5.656135215052361E+000 -8.951544418924459E+001 
2.394000000000000E+009 -5.745313013055738E+000 -9.079807071877137E+001 
2.410000000000000E+009 -5.581144656492543E+000 -9.536389086516964E+001 
2.426000000000000E+009 -5.584252938298866E+000 -9.749607812928508E+001 
2.442000000000000E+009 -5.539925668901470E+000 -1.030074142018274E+002 
2.458000000000000E+009 -5.631228088801138E+000 -1.043924827960006E+002 
2.474000000000000E+009 -5.756896997071058E+000 -1.085509191845801E+002 
2.490000000000000E+009 -5.560624174879901E+000 -1.072428212071792E+002 
2.506000000000000E+009 -5.501488684817162E+000 -1.119668638755440E+002 
2.522000000000000E+009 -5.455377604484295E+000 -1.165211872505359E+002 
2.538000000000000E+009 -5.573445454014378E+000 -1.201502387577241E+002 
2.554000000000000E+009 -5.623468815378417E+000 -1.237402545794370E+002 
2.570000000000000E+009 -5.620172638587055E+000 -1.244791756091957E+002 
2.586000000000000E+009 -5.355011066181178E+000 -1.273553743975607E+002 
2.602000000000000E+009 -5.291322582979388E+000 -1.316181559869205E+002 
2.618000000000000E+009 -5.357479852514597E+000 -1.356812105169742E+002 
2.634000000000000E+009 -5.427410978992358E+000 -1.380737177714308E+002 
2.650000000000000E+009 -5.520443943288791E+000 -1.406021196205149E+002 
2.666000000000000E+009 -5.419446665801573E+000 -1.431720549319175E+002 
2.682000000000000E+009 -5.368106667486811E+000 -1.462814014871859E+002 
2.698000000000000E+009 -5.283251501179193E+000 -1.508620568638388E+002 
2.714000000000000E+009 -5.323161109976779E+000 -1.545992535444523E+002 
2.730000000000000E+009 -5.340656386245863E+000 -1.565199079679089E+002 
2.746000000000000E+009 -5.363683843300813E+000 -1.625774507840917E+002 
2.762000000000000E+009 -5.367614624901814E+000 -1.649701078434877E+002 
2.778000000000000E+009 -5.340190240404502E+000 -1.661175650956510E+002 
2.794000000000000E+009 -5.364448402394178E+000 -1.679953535634555E+002 
2.810000000000000E+009 -5.211599993525628E+000 -1.728103020381598E+002 
2.826000000000000E+009 -5.241603810489004E+000 -1.759747671859201E+002 
2.842000000000000E+009 -5.218458763675410E+000 1.791390690309301E+002 
2.858000000000000E+009 -5.361555616747081E+000 1.775820587305513E+002 
2.874000000000000E+009 -5.406878712033956E+000 1.761277207049124E+002 
2.890000000000000E+009 -5.372596027452639E+000 1.736439530809306E+002 
2.906000000000000E+009 -5.215498788737154E+000 1.696650774211981E+002 
2.922000000000000E+009 -4.999916808455991E+000 1.639483989480005E+002 
2.938000000000000E+009 -5.080600118438030E+000 1.594993482639990E+002 
2.954000000000000E+009 -5.329723597467157E+000 1.567017356535912E+002 
2.970000000000000E+009 -5.497073498665579E+000 1.536925516887544E+002 
2.986000000000000E+009 -5.382014341993359E+000 1.547184242867861E+002 
3.002000000000000E+009 -5.115089360252820E+000 1.490135204081181E+002 
3.018000000000000E+009 -5.083090754850145E+000 1.454756517870055E+002 
3.034000000000000E+009 -5.201842495269800E+000 1.392463129156702E+002 
3.050000000000000E+009 -5.474476961595890E+000 1.357509734839695E+002 
3.066000000000000E+009 -5.516696134855811E+000 1.347213023217071E+002 
3.082000000000000E+009 -5.282090293099032E+000 1.335363740736792E+002 
3.098000000000000E+009 -5.241301715212847E+000 1.298767119225180E+002 
3.114000000000000E+009 -5.282636804960147E+000 1.253294516701758E+002 
3.130000000000000E+009 -5.424243255412028E+000 1.231769128002385E+002 
3.146000000000000E+009 -5.482551355502317E+000 1.207398087286535E+002 
3.162000000000000E+009 -5.404896284927540E+000 1.157131760782890E+002 
3.178000000000000E+009 -5.393627163237269E+000 1.139634164181191E+002 
3.194000000000000E+009 -5.524583300593527E+000 1.101859167525698E+002 
3.210000000000000E+009 -5.460183558389072E+000 1.087313874079570E+002 
3.226000000000000E+009 -5.204008055572571E+000 1.072776798886284E+002 
3.242000000000000E+009 -5.237559256997680E+000 1.006686558410101E+002 
3.258000000000000E+009 -5.488301341523938E+000 9.550314816160571E+001 
3.274000000000000E+009 -5.810452007238618E+000 9.425579836660215E+001 
3.290000000000000E+009 -5.673722114221830E+000 9.577582391438280E+001 
3.306000000000000E+009 -5.201956789733711E+000 9.161865213703938E+001 
3.322000000000000E+009 -4.812156419456341E+000 8.380679545834101E+001 
3.338000000000000E+009 -5.142501671749061E+000 7.972697019094399E+001 
3.354000000000000E+009 -5.865103220116036E+000 7.760884214995065E+001 
3.370000000000000E+009 -5.902139447990613E+000 7.927084446532408E+001 
3.386000000000000E+009 -5.268178895291921E+000 7.837605017948673E+001 
3.402000000000000E+009 -4.807047333834253E+000 7.195278850900587E+001 
3.418000000000000E+009 -5.051357134006938E+000 6.444699829241399E+001 
3.434000000000000E+009 -5.591347263894433E+000 6.204184712825714E+001 
3.450000000000000E+009 -5.635691026691886E+000 6.260622461596687E+001 
3.466000000000000E+009 -5.177832174658194E+000 5.848170183446207E+001 
3.482000000000000E+009 -4.913520004065522E+000 5.178079935746336E+001 
3.498000000000000E+009 -5.222200575118253E+000 4.906230307158072E+001 
3.514000000000000E+009 -5.494334377340945E+000 4.603552868412652E+001 
3.530000000000000E+009 -5.152708450907706E+000 4.543190071312500E+001 
3.546000000000000E+009 -4.749431278161662E+000 4.035616157808970E+001 
3.562000000000000E+009 -5.147750299641339E+000 3.329095339798696E+001 
3.578000000000000E+009 -5.802899258119161E+000 3.174066880811543E+001 
3.594000000000000E+009 -5.747247542875316E+000 3.330607229625213E+001 
3.610000000000000E+009 -4.896679373546397E+000 3.157126873920908E+001 
3.626000000000000E+009 -4.374862514473493E+000 2.138302311193742E+001 
3.642000000000000E+009 -5.156405540706195E+000 1.142916365103156E+001 
3.658000000000000E+009 -6.100788040099286E+000 1.155422407206289E+001 
3.674000000000000E+009 -6.060129371136804E+000 1.658043403047719E+001 
3.690000000000000E+009 -5.008116160157392E+000 1.311480390101816E+001 
3.706000000000000E+009 -4.495247548462547E+000 7.121955610042871E+000 
3.722000000000000E+009 -5.165467739336240E+000 -3.584576161116120E+000 
3.738000000000000E+009 -6.076509386402498E+000 -4.107927581918855E+000 
3.754000000000000E+009 -6.201143061150231E+000 -1.423985396833789E+000 
3.770000000000000E+009 -5.538655748077268E+000 -2.538527406859494E+000 
3.786000000000000E+009 -5.103220178394946E+000 -1.034486785866215E+001 
3.802000000000000E+009 -5.436990162326539E+000 -1.577283650706900E+001 
3.818000000000000E+009 -5.850192951632013E+000 -1.869974397014077E+001 
3.834000000000000E+009 -5.822857756377872E+000 -2.064844770973314E+001 
3.850000000000000E+009 -5.770099136787485E+000 -2.169585380906151E+001 
3.866000000000000E+009 -5.867414444862200E+000 -2.680620958363586E+001 
3.882000000000000E+009 -6.036955114152776E+000 -3.225747866717884E+001 
3.898000000000000E+009 -5.949916027547970E+000 -3.120466730821710E+001 
3.914000000000000E+009 -5.587015576645988E+000 -3.586068677226767E+001 
3.930000000000000E+009 -5.900459428296021E+000 -4.203371094731541E+001 
3.946000000000000E+009 -6.467339086373338E+000 -4.676633498037482E+001 
3.962000000000000E+009 -6.844602661786903E+000 -4.257221387485249E+001 
3.978000000000000E+009 -6.405244445892306E+000 -4.625904576510503E+001 
3.994000000000000E+009 -5.880072175515622E+000 -5.012155413388195E+001 
4.010000000000000E+009 -6.050411786427329E+000 -5.473581384097773E+001 
4.026000000000000E+009 -6.758302026034959E+000 -5.922766759144505E+001 
4.042000000000000E+009 -7.028267723196162E+000 -5.862308352680319E+001 
4.058000000000000E+009 -6.847982037897840E+000 -5.856026030667717E+001 
4.074000000000000E+009 -6.413583588239056E+000 -6.245549954728583E+001 
4.090000000000000E+009 -6.409954489151654E+000 -6.773934492428975E+001 
4.106000000000000E+009 -6.625836906302173E+000 -7.113213264126883E+001 
4.122000000000000E+009 -6.821377811004295E+000 -7.028216157549547E+001 
4.138000000000000E+009 -6.639824786035580E+000 -7.471699353096918E+001 
4.154000000000000E+009 -6.658567472149890E+000 -7.692341436802313E+001 
4.170000000000000E+009 -6.606100958588460E+000 -7.890798693435285E+001 
4.186000000000000E+009 -6.522296856672685E+000 -8.026215528294004E+001 
4.202000000000000E+009 -6.386373100542292E+000 -8.546049988827966E+001 
4.218000000000000E+009 -6.356740931609675E+000 -8.783228940142560E+001 
4.234000000000000E+009 -6.586268622002552E+000 -9.110813918932020E+001 
4.250000000000000E+009 -6.418382085317069E+000 -9.257112002645617E+001 
4.266000000000000E+009 -6.204490361196117E+000 -9.412932204051020E+001 
4.282000000000000E+009 -5.934328063166143E+000 -9.720104291524801E+001 
4.298000000000000E+009 -5.839067683635871E+000 -1.015440567779137E+002 
4.314000000000000E+009 -5.984445538562638E+000 -1.031389636261229E+002 
4.330000000000000E+009 -5.935687675693985E+000 -1.071804093619838E+002 
4.346000000000000E+009 -5.544927035269923E+000 -1.075452945302131E+002 
4.362000000000000E+009 -5.358039103323880E+000 -1.111081506918445E+002 
4.378000000000000E+009 -5.261239472875594E+000 -1.176348087047115E+002 
4.394000000000000E+009 -5.125470602839228E+000 -1.226814062419534E+002 
4.410000000000000E+009 -4.988122076234868E+000 -1.236313532246519E+002 
4.426000000000000E+009 -4.933204118699221E+000 -1.273026842099780E+002 
4.442000000000000E+009 -4.688682902287822E+000 -1.288227060476744E+002 
4.458000000000000E+009 -4.580868890161793E+000 -1.347439100819690E+002 
4.474000000000000E+009 -4.589379362769623E+000 -1.383534818228893E+002 
4.490000000000000E+009 -4.505500375816243E+000 -1.408493419492558E+002 
4.506000000000000E+009 -4.288130807281143E+000 -1.453383312037935E+002 
4.522000000000000E+009 -4.186394182046731E+000 -1.504337413915984E+002 
4.538000000000000E+009 -4.173847494680009E+000 -1.521374639492171E+002 
4.554000000000000E+009 -4.014767361689625E+000 -1.586935452713240E+002 
4.570000000000000E+009 -4.013201520769310E+000 -1.639108861889943E+002 
4.586000000000000E+009 -4.041392474937211E+000 -1.676899774461830E+002 
4.602000000000000E+009 -4.065531804369480E+000 -1.699660076779892E+002 
4.618000000000000E+009 -4.009552824195597E+000 -1.731956648063677E+002 
4.634000000000000E+009 -3.835215033342802E+000 -1.758936203421740E+002 
4.650000000000000E+009 -3.766891585706719E+000 1.779593178541331E+002 
